symbol,y,x1,x2,x3,x4,underwriter,exchange
TUBE,1.056,1.286,56250,0.218,0.067,8-10-18,1
TWOU,1.002,1.000,119275,0.234,0.148,1-2,1
UBIC,1.039,1.033,9526,1.000,0.012,6-13-39-115,1
UBNT,1.060,1.100,116130,0.078,0.034,21-32-38,1
UPLD,1.000,0.917,42307,0.268,0.117,6-38,1
VA,1.059,1.174,360114,0.311,0.121,17-21,1
VBLT,1.018,1.003,40133,0.337,0.024,21,1
VBTX,1.000,1.077,37800,0.298,0.028,34-55,1
VCYT,1.012,1.000,65000,0.238,0.164,7-56,1
VGGL,1.000,0.956,33468,0.318,0.005,14-96,1
VIRT,1.029,1.211,380242,0.519,0.192,2-19-34,1
VKTX,1.115,1.062,25500,0.328,0.012,12-14-102,1
VNOM,1.053,1.212,157500,0.066,0.131,1-17-37,1
VRA,1.039,1.438,253000,0.272,0.134,4-39,1
VRNS,1.051,1.773,187200,0.201,0.262,3-7-10-17,1
VSAR,1.143,1.333,168000,0.258,0.146,7-18,1
VSTM,1.043,1.100,60500,0.272,0.021,32-56,1
VTAE,1.059,1.000,55000,0.396,0.032,26-31,1
VTL,1.020,1.021,55125,0.213,0.033,1-6-8,1
VTVT,1.000,0.933,109375,1.000,0.103,4-26,1
VWR,1.018,1.000,536172,0.200,0.097,2-8-19,1
WATT,1.136,1.583,38000,0.453,0.008,134,1
WHLR,1.000,1.190,25000,0.933,0.000,214-257-258,1
WIFI,1.052,0.926,72125,0.177,0.155,1-21,1
WING,1.049,1.605,176900,0.203,0.260,3-7-39,1
WIX,1.022,1.121,142450,0.210,0.223,8-10-19,1
WOWO,1.052,1.106,44240,1.000,0.010,58,1
WSTC,1.011,0.950,404225,0.255,0.090,2-7,1
XBIT,1.033,1.211,92000,0.126,0.017,91,1
XELB,1.000,1.011,16380,0.100,0.002,40,1
XENE,1.045,1.113,40080,0.295,0.013,3-37,1
XENT,1.034,1.200,66000,0.222,0.136,4-19,1
XGTI,1.071,1.002,7371,0.128,0.010,69-94,1
XLRN,1.082,1.233,103230,0.210,0.127,18-56,1
XNCR,1.066,1.082,75743,0.433,0.012,1-56,1
XNET,1.094,1.184,103946,1.000,0.123,18-19,1
XONE,1.052,1.314,125398,0.414,0.121,120,1
