symbol,date,underwriter
QTWO,20140320,stifel nicolaus
RATE,20110617,goldman sachs
RATE,20110617,bofa merrill lynch
RCAP,20130605,jmp
RCAP,20130605,ladenburg thalmann
RCAP,20130605,realty
RENN,20110504,morgan stanley
RENN,20110504,bofa merrill lynch
RENN,20110504,deutsche bank
REXR,20130719,bofa merrill lynch
REXR,20130719,jp morgan
REXR,20130719,wells fargo
REXR,20130719,fbr
RH,20121102,goldman sachs
RH,20121102,bofa merrill lynch
RICE,20140124,goldman sachs
RICE,20140124,barclays
RICE,20140124,citigroup
RIGP,20140731,morgan stanley
RIGP,20140731,barclays
RKUS,20121116,goldman sachs
RKUS,20121116,morgan stanley
RLD,20100716,piper jaffray
RLD,20100716,jp morgan
RLGY,20121011,goldman sachs
RLGY,20121011,barclays
RLGY,20121011,jp morgan
RLJ,20110511,bofa merrill lynch
RLJ,20110511,barclays
RLJ,20110511,wells fargo
RM,20120328,jefferies
RM,20120328,stephens
RMAX,20131002,morgan stanley
RMAX,20131002,bofa merrill lynch
RMAX,20131002,jp morgan
RMP,20141217,barclays
RMP,20141217,citigroup
RMP,20141217,wells fargo
RNDY,20120208,credit suisse
RNDY,20120208,jefferies
RNDY,20120208,jp morgan
RNDY,20120208,robert w baird
RNF,20111104,morgan stanley
RNG,20130927,goldman sachs
RNG,20130927,bofa merrill lynch
RNG,20130927,jp morgan
ROYT,20120503,bofa merrill lynch
ROYT,20120503,barclays
ROYT,20120503,citigroup
ROYT,20120503,jp morgan
ROYT,20120503,ubs
ROYT,20120503,wells fargo
RPAI,20120405,keybanc
RPAI,20120405,citigroup
RPAI,20120405,jp morgan
RPAI,20120405,deutsche bank
RRMS,20111209,barclays
RRMS,20111209,citigroup
RRMS,20111209,deutsche bank
RRTS,20100513,stifel nicolaus
RRTS,20100513,robert w baird
RRTS,20100513,bbandt
RSPP,20140117,barclays
RSPP,20140117,jp morgan
RUBI,20140402,goldman sachs
RUBI,20140402,morgan stanley
RUBI,20140402,rbc
RXN,20120329,credit suisse
RXN,20120329,goldman sachs
RXN,20120329,bofa merrill lynch
RXN,20120329,deutsche bank
RYI,20140808,bofa merrill lynch
RYI,20140808,jp morgan
RYI,20140808,deutsche bank
RYI,20140808,bmo
SALT,20131212,deutsche bank
SBY,20121214,credit suisse
SBY,20121214,bofa merrill lynch
SBY,20121214,jp morgan
SC,20140123,citigroup
SC,20140123,jp morgan
SDLP,20121019,morgan stanley
SDLP,20121019,citigroup
SDLP,20121019,wells fargo
SDR,20120418,morgan stanley
SDR,20120418,bofa merrill lynch
SDR,20120418,raymond james
SE,20171020,credit suisse
SE,20171020,morgan stanley
SE,20171020,goldman sachs (asia)
SEAS,20130419,goldman sachs
SEAS,20130419,jp morgan
SERV,20140626,credit suisse
SERV,20140626,goldman sachs
SERV,20140626,morgan stanley
SERV,20140626,jp morgan
SFS,20140924,credit suisse
SFS,20140924,morgan stanley
SFS,20140924,deutsche bank
SFUN,20100917,deutsche bank
SFUN,20100917,goldman sachs (asia)
SGM,20131010,credit suisse
SGM,20131010,bofa merrill lynch
SGM,20131010,barclays
SGM,20131010,fbr
SHAK,20150130,morgan stanley
SHAK,20150130,jp morgan
SHLX,20141029,barclays
SHLX,20141029,citigroup
SHOP,20150521,credit suisse
SHOP,20150521,morgan stanley
SHOP,20150521,rbc
SIR,20120307,morgan stanley
SIR,20120307,bofa merrill lynch
SIR,20120307,wells fargo
SLCA,20120201,jefferies
SLCA,20120201,morgan stanley
SLCA,20120201,bofa merrill lynch
SMLP,20120928,bofa merrill lynch
SMLP,20120928,barclays
SN,20111214,macquarie
SN,20111214,johnson rice
SNOW,20140131,credit suisse
SNOW,20140131,goldman sachs
SNOW,20140131,bofa merrill lynch
SNOW,20140131,deutsche bank
SQNS,20110415,jefferies
SQNS,20110415,ubs
SRC,20120920,morgan stanley
SRLP,20131025,bofa merrill lynch
SRLP,20131025,barclays
SRLP,20131025,jp morgan
SSNI,20130313,credit suisse
SSNI,20130313,goldman sachs
SSNI,20130313,morgan stanley
SSTK,20121011,jefferies
SSTK,20121011,morgan stanley
SSTK,20121011,deutsche bank
ST,20100311,goldman sachs
ST,20100311,morgan stanley
ST,20100311,barclays
STAY,20131113,goldman sachs
STAY,20131113,jp morgan
STAY,20131113,deutsche bank
STOR,20141118,credit suisse
STOR,20141118,goldman sachs
STOR,20141118,morgan stanley
SUM,20150312,goldman sachs
SUM,20150312,citigroup
SWFT,20101216,morgan stanley
SWFT,20101216,bofa merrill lynch
SWFT,20101216,wells fargo
SXC,20110721,credit suisse
SXC,20110721,goldman sachs
SXC,20110721,bofa merrill lynch
SXCP,20130118,bofa merrill lynch
SXCP,20130118,barclays
SXCP,20130118,citigroup
SXE,20121102,citigroup
SXE,20121102,wells fargo
