symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,p30,t30,p1h,t1h,p1d,t1d
MCRB,1.147,1.583,211770,0.196,0.120,2-8,1,5,1.172,20,1.206,36,1.804,247
MCUR,1.000,0.900,48150,0.331,0.058,1-3,1,0,1.000,0,1.000,0,1.000,0
MDWD,1.087,1.143,80000,0.246,0.143,1-3-31,1,4,1.087,4,1.087,4,1.100,316
MEMP,1.000,0.995,170100,0.560,0.116,18-37-38,1,0,1.005,13,1.005,13,1.005,13
MFRM,1.023,1.158,122222,0.168,0.139,6-17-32,1,3,1.023,3,1.036,47,1.045,334
MGNX,1.068,1.500,120000,0.208,0.121,8-56,1,9,1.100,14,1.100,14,1.100,14
MIK,1.008,1.000,472222,0.137,0.127,2-19,1,0,1.009,12,1.009,12,1.015,146
MKTO,1.021,1.538,121190,0.169,0.209,1-2,1,5,1.021,5,1.024,54,1.169,244
MMYT,1.057,1.571,110000,0.146,0.114,7,1,4,1.107,9,1.144,34,1.219,311
MOBI,1.167,0.750,43500,0.028,0.145,18,1,6,1.167,6,1.167,6,1.167,6
MOBL,1.124,1.111,111111,0.149,0.169,2-7-17-21,1,10,1.124,10,1.124,10,1.126,290
MOKO,1.061,1.100,9075,0.975,0.026,16-70,1,0,1.061,0,1.061,0,1.061,0
MOLG,1.036,0.860,145125,1.000,0.139,1-18-21-32,1,9,1.036,9,1.036,9,1.036,9
MOMO,1.087,1.056,228000,1.000,0.150,1-7-19-44,1,3,1.089,15,1.100,48,1.228,259
MRD,1.025,1.119,909928,0.222,0.117,17-18,1,10,1.045,14,1.056,53,1.069,100
MRKT,1.030,1.090,1398302,0.299,0.125,1-8-17-18,1,10,1.032,11,1.032,11,1.048,257
MRNS,1.020,1.000,45000,0.408,0.034,26-33,1,0,1.020,0,1.020,0,1.020,0
MTBC,1.000,1.000,20400,0.371,0.058,69-70-104,1,0,1.000,0,1.000,0,1.000,0
MTGE,1.015,0.950,152000,0.800,0.137,18-21-32-37,1,0,1.015,0,1.015,0,1.015,0
